order,character,unicode,category,tier,frequency_rank,pinyin,stroke_count,source
342,带,U+5E26,hanzi_frequency,phase1,342,dài,9,Jun Da frequency list; filtered by General Standard Level 1
343,导,U+5BFC,hanzi_frequency,phase1,343,dǎo,6,Jun Da frequency list; filtered by General Standard Level 1
344,争,U+4E89,hanzi_frequency,phase1,344,zhēng,6,Jun Da frequency list; filtered by General Standard Level 1
345,运,U+8FD0,hanzi_frequency,phase1,345,yùn,7,Jun Da frequency list; filtered by General Standard Level 1
346,笑,U+7B11,hanzi_frequency,phase1,346,xiào,10,Jun Da frequency list; filtered by General Standard Level 1
347,飞,U+98DE,hanzi_frequency,phase1,347,fēi,3,Jun Da frequency list; filtered by General Standard Level 1
348,风,U+98CE,hanzi_frequency,phase1,348,fēng,4,Jun Da frequency list; filtered by General Standard Level 1
349,步,U+6B65,hanzi_frequency,phase1,349,bù,7,Jun Da frequency list; filtered by General Standard Level 1
350,改,U+6539,hanzi_frequency,phase1,350,gǎi,7,Jun Da frequency list; filtered by General Standard Level 1
351,收,U+6536,hanzi_frequency,phase1,351,shōu,6,Jun Da frequency list; filtered by General Standard Level 1
352,根,U+6839,hanzi_frequency,phase1,352,gēn,10,Jun Da frequency list; filtered by General Standard Level 1
353,干,U+5E72,hanzi_frequency,phase1,353,gàn,3,Jun Da frequency list; filtered by General Standard Level 1
354,造,U+9020,hanzi_frequency,phase1,354,zào,10,Jun Da frequency list; filtered by General Standard Level 1
355,言,U+8A00,hanzi_frequency,phase1,355,yán,7,Jun Da frequency list; filtered by General Standard Level 1
356,联,U+8054,hanzi_frequency,phase1,356,lián,12,Jun Da frequency list; filtered by General Standard Level 1
357,持,U+6301,hanzi_frequency,phase1,357,chí,9,Jun Da frequency list; filtered by General Standard Level 1
358,组,U+7EC4,hanzi_frequency,phase1,358,zǔ,8,Jun Da frequency list; filtered by General Standard Level 1
359,每,U+6BCF,hanzi_frequency,phase1,359,měi,7,Jun Da frequency list; filtered by General Standard Level 1
360,济,U+6D4E,hanzi_frequency,phase1,360,jì,9,Jun Da frequency list; filtered by General Standard Level 1
361,车,U+8F66,hanzi_frequency,phase1,361,chē,4,Jun Da frequency list; filtered by General Standard Level 1
362,亲,U+4EB2,hanzi_frequency,phase1,362,qīn,9,Jun Da frequency list; filtered by General Standard Level 1
363,极,U+6781,hanzi_frequency,phase1,363,jí,7,Jun Da frequency list; filtered by General Standard Level 1
364,林,U+6797,hanzi_frequency,phase1,364,lín,8,Jun Da frequency list; filtered by General Standard Level 1
365,服,U+670D,hanzi_frequency,phase1,365,fú,8,Jun Da frequency list; filtered by General Standard Level 1
366,快,U+5FEB,hanzi_frequency,phase1,366,kuài,7,Jun Da frequency list; filtered by General Standard Level 1
367,办,U+529E,hanzi_frequency,phase1,367,bàn,4,Jun Da frequency list; filtered by General Standard Level 1
368,议,U+8BAE,hanzi_frequency,phase1,368,yì,5,Jun Da frequency list; filtered by General Standard Level 1
369,往,U+5F80,hanzi_frequency,phase1,369,wǎng,8,Jun Da frequency list; filtered by General Standard Level 1
370,元,U+5143,hanzi_frequency,phase1,370,yuán,4,Jun Da frequency list; filtered by General Standard Level 1
371,英,U+82F1,hanzi_frequency,phase1,371,yīng,8,Jun Da frequency list; filtered by General Standard Level 1
372,士,U+58EB,hanzi_frequency,phase1,372,shì,3,Jun Da frequency list; filtered by General Standard Level 1
373,证,U+8BC1,hanzi_frequency,phase1,373,zhèng,7,Jun Da frequency list; filtered by General Standard Level 1
374,近,U+8FD1,hanzi_frequency,phase1,374,jìn,7,Jun Da frequency list; filtered by General Standard Level 1
375,失,U+5931,hanzi_frequency,phase1,375,shī,5,Jun Da frequency list; filtered by General Standard Level 1
376,转,U+8F6C,hanzi_frequency,phase1,376,zhuǎn,8,Jun Da frequency list; filtered by General Standard Level 1
377,夫,U+592B,hanzi_frequency,phase1,377,fū,4,Jun Da frequency list; filtered by General Standard Level 1
378,令,U+4EE4,hanzi_frequency,phase1,378,lìng,5,Jun Da frequency list; filtered by General Standard Level 1
379,准,U+51C6,hanzi_frequency,phase1,379,zhǔn,10,Jun Da frequency list; filtered by General Standard Level 1
380,布,U+5E03,hanzi_frequency,phase1,380,bù,5,Jun Da frequency list; filtered by General Standard Level 1
381,始,U+59CB,hanzi_frequency,phase1,381,shǐ,8,Jun Da frequency list; filtered by General Standard Level 1
382,怎,U+600E,hanzi_frequency,phase1,382,zěn,9,Jun Da frequency list; filtered by General Standard Level 1
383,呢,U+5462,hanzi_frequency,phase1,383,ne,8,Jun Da frequency list; filtered by General Standard Level 1
384,存,U+5B58,hanzi_frequency,phase1,384,cún,6,Jun Da frequency list; filtered by General Standard Level 1
385,未,U+672A,hanzi_frequency,phase1,385,wèi,5,Jun Da frequency list; filtered by General Standard Level 1
386,远,U+8FDC,hanzi_frequency,phase1,386,yuǎn,7,Jun Da frequency list; filtered by General Standard Level 1
387,叫,U+53EB,hanzi_frequency,phase1,387,jiào,5,Jun Da frequency list; filtered by General Standard Level 1
388,台,U+53F0,hanzi_frequency,phase1,388,tái,5,Jun Da frequency list; filtered by General Standard Level 1
389,单,U+5355,hanzi_frequency,phase1,389,dān,8,Jun Da frequency list; filtered by General Standard Level 1
390,影,U+5F71,hanzi_frequency,phase1,390,yǐng,15,Jun Da frequency list; filtered by General Standard Level 1
391,具,U+5177,hanzi_frequency,phase1,391,jù,8,Jun Da frequency list; filtered by General Standard Level 1
392,罗,U+7F57,hanzi_frequency,phase1,392,luō,8,Jun Da frequency list; filtered by General Standard Level 1
393,字,U+5B57,hanzi_frequency,phase1,393,zì,6,Jun Da frequency list; filtered by General Standard Level 1
